pair,best_Z,N_trades,cum_PnL,avg_PnL
oil_pair,0.5,43.0,73.36117050410036,1.7060737326534967
currency_pair,0.7,11.0,0.19865691436165275,0.01805971948742298
volatility_pair,0.7999999999999999,3.0,2170.948421654929,723.6494738849764
