Date,INVE-A.ST,INVE-B.ST
2020-08-10,120.0882797241211,121.66726684570312
2020-08-11,121.91647338867188,123.81217956542969
2020-08-12,122.48777770996094,124.31417846679688
2020-08-13,121.80219268798828,123.76657104492188
2020-08-14,120.65958404541016,122.35181427001953
2020-08-17,122.48777770996094,124.22291564941406
2020-08-18,122.48777770996094,124.13162994384766
2020-08-19,124.0874252319336,125.50074768066406
2020-08-20,123.7446517944336,125.09001159667969
2020-08-21,124.54447174072266,125.45509338378906
2020-08-24,125.91558074951172,127.0980224609375
2020-08-25,126.0298843383789,126.91548156738281
2020-08-26,127.17244720458984,128.46713256835938
2020-08-27,126.8296890258789,128.01072692871094
2020-08-28,125.00151062011719,126.00273132324219
2020-08-31,124.7729721069336,125.82018280029297
2020-09-01,125.45854187011719,126.59601593017578
2020-09-02,126.94395446777344,128.10203552246094
2020-09-03,125.23003387451172,126.41349029541016
2020-09-04,124.54447174072266,125.31818389892578
2020-09-07,126.94395446777344,128.1476593017578
2020-09-08,126.25838470458984,127.18931579589844
2020-09-09,129.3434295654297,130.65768432617188
2020-09-10,129.00064086914062,129.7905731201172
2020-09-11,129.11489868164062,129.56239318847656
2020-09-14,129.22918701171875,129.8818817138672
2020-09-15,130.02899169921875,130.52078247070312
2020-09-16,132.08567810058594,132.66571044921875
2020-09-17,130.94308471679688,131.38784790039062
2020-09-18,133.45681762695312,133.39584350585938
2020-09-21,128.54360961914062,128.5127716064453
2020-09-22,128.65786743164062,128.96913146972656
2020-09-23,129.3434295654297,129.56239318847656
2020-09-24,128.77212524414062,129.15167236328125
2020-09-25,130.02899169921875,130.7033233642578
2020-09-28,133.91384887695312,134.4911651611328
2020-09-29,133.45681762695312,134.26296997070312
2020-09-30,132.99977111816406,133.9435272216797
2020-10-01,131.742919921875,132.11805725097656
2020-10-02,130.60028076171875,130.8858642578125
2020-10-05,131.628662109375,132.30059814453125
2020-10-06,130.48605346679688,130.7033233642578
2020-10-07,129.80047607421875,130.06442260742188
2020-10-08,128.8863983154297,129.60801696777344
2020-10-09,128.77212524414062,129.15167236328125
2020-10-12,130.02899169921875,130.4294891357422
2020-10-13,128.54360961914062,129.10601806640625
2020-10-14,128.65786743164062,129.334228515625
2020-10-15,126.8296890258789,127.05238342285156
2020-10-16,128.77212524414062,129.5167694091797
2020-10-19,128.77212524414062,129.37989807128906
2020-10-20,129.11489868164062,129.334228515625
2020-10-21,126.71540832519531,127.14366149902344
2020-10-22,127.97228240966797,128.42149353027344
2020-10-23,128.8863983154297,129.06040954589844
2020-10-26,125.45854187011719,125.63764190673828
2020-10-27,124.65873718261719,124.95308685302734
2020-10-28,121.91647338867188,122.21488952636719
2020-10-29,121.80219268798828,122.16927337646484
2020-10-30,121.80219268798828,121.94108581542969
2020-11-02,123.28760528564453,123.5840072631836
2020-11-03,125.68708801269531,126.27655792236328
2020-11-04,128.65786743164062,129.334228515625
2020-11-05,130.82882690429688,130.84022521972656
2020-11-06,130.71453857421875,131.1140594482422
2020-11-09,134.48519897460938,135.3582763671875
2020-11-10,133.5710906982422,134.5367889404297
2020-11-11,135.28500366210938,136.49917602539062
2020-11-12,134.2566375732422,135.40386962890625
2020-11-13,134.8279571533203,135.58642578125
2020-11-16,134.7136993408203,135.54080200195312
2020-11-17,135.05648803710938,136.04281616210938
2020-11-18,135.97056579589844,137.0011749267578
2020-11-19,135.62777709960938,136.45350646972656
2020-11-20,135.62777709960938,136.68170166015625
2020-11-23,134.14239501953125,135.58642578125
2020-11-24,134.94223022460938,136.22535705566406
