Date,^FCHI,^GDAXI
2020-08-10,4909.509765625,12687.5302734375
2020-08-11,5027.990234375,12946.8896484375
2020-08-12,5073.31005859375,13058.6298828125
2020-08-13,5042.3798828125,12993.7099609375
2020-08-14,4962.93017578125,12901.33984375
2020-08-17,4971.93994140625,12920.66015625
2020-08-18,4938.06005859375,12881.759765625
2020-08-19,4977.22998046875,12977.330078125
2020-08-20,4911.240234375,12830.0
2020-08-21,4896.330078125,12764.7998046875
2020-08-24,5007.89013671875,13066.5400390625
2020-08-25,5008.27001953125,13061.6201171875
2020-08-26,5048.43017578125,13190.150390625
2020-08-27,5015.97021484375,13096.3603515625
2020-08-28,5002.93994140625,13033.2001953125
2020-08-31,4947.22021484375,12945.3798828125
2020-09-01,4938.10009765625,12974.25
2020-09-02,5031.740234375,13243.4296875
2020-09-03,5009.52001953125,13057.76953125
2020-09-04,4965.06982421875,12842.66015625
2020-09-07,5053.72021484375,13100.2802734375
2020-09-08,4973.52001953125,12968.330078125
2020-09-09,5042.97998046875,13237.2099609375
2020-09-10,5023.93017578125,13208.8896484375
2020-09-11,5034.14013671875,13202.83984375
2020-09-14,5051.8798828125,13193.66015625
2020-09-15,5067.93017578125,13217.669921875
2020-09-16,5074.419921875,13255.3701171875
2020-09-17,5039.5,13208.1201171875
2020-09-18,4978.18017578125,13116.25
2020-09-21,4792.0400390625,12542.4404296875
2020-09-22,4772.83984375,12594.3896484375
2020-09-23,4802.259765625,12642.9697265625
2020-09-24,4762.6201171875,12606.5703125
2020-09-25,4729.66015625,12469.2001953125
2020-09-28,4843.27001953125,12870.8701171875
2020-09-29,4832.06982421875,12825.8203125
2020-09-30,4803.43994140625,12760.73046875
2020-10-01,4824.0400390625,12730.76953125
2020-10-02,4824.8798828125,12689.0400390625
2020-10-05,4871.8701171875,12828.3095703125
2020-10-06,4895.4599609375,12906.01953125
2020-10-07,4882.0,12928.5703125
2020-10-08,4911.93994140625,13042.2099609375
2020-10-09,4946.81005859375,13051.23046875
2020-10-12,4979.2900390625,13138.41015625
2020-10-13,4947.60986328125,13018.990234375
2020-10-14,4941.66015625,13028.0595703125
2020-10-15,4837.419921875,12703.75
2020-10-16,4935.85986328125,12908.990234375
2020-10-19,4942.6201171875,12854.66015625
2020-10-20,4929.27978515625,12736.9501953125
2020-10-21,4853.9501953125,12557.6396484375
2020-10-22,4851.3798828125,12543.0595703125
2020-10-23,4909.64013671875,12645.75
2020-10-26,4816.1201171875,12177.1796875
2020-10-27,4730.66015625,12063.5703125
2020-10-28,4571.1201171875,11560.509765625
2020-10-29,4569.669921875,11598.0703125
