Date,FTSEMIB.MI,^IBEX
2021-02-25,23064.0,8317.7998046875
2021-02-26,22849.0,8225.0
2021-03-01,23265.0,8378.099609375
2021-03-02,23084.0,8355.7998046875
2021-03-03,23047.0,8329.2998046875
2021-03-04,23093.0,8354.0
2021-03-05,22966.0,8286.7998046875
2021-03-08,23682.0,8444.2001953125
2021-03-09,23817.0,8496.400390625
2021-03-10,23926.0,8525.2001953125
2021-03-11,24121.0,8593.0
2021-03-12,24113.0,8644.5
2021-03-15,24139.0,8635.400390625
2021-03-16,24261.0,8657.7001953125
2021-03-17,24281.0,8599.5
2021-03-18,24360.0,8624.599609375
2021-03-19,24199.0,8493.0
2021-03-22,24263.0,8343.5
2021-03-23,24114.0,8390.2998046875
2021-03-24,24209.0,8443.7001953125
2021-03-25,24219.0,8409.5
2021-03-26,24393.0,8498.2001953125
2021-03-29,24421.0,8492.099609375
2021-03-30,24636.0,8595.2001953125
2021-03-31,24649.0,8580.0
2021-04-01,24710.0,8577.599609375
2021-04-02,24710.0,8577.599609375
2021-04-05,24710.0,8577.599609375
2021-04-06,24761.0,8634.599609375
2021-04-07,24741.0,8597.400390625
2021-04-08,24577.0,8637.7998046875
2021-04-09,24429.0,8565.7998046875
2021-04-12,24457.0,8532.599609375
2021-04-13,24600.0,8525.099609375
2021-04-14,24575.0,8588.400390625
2021-04-15,24529.0,8571.599609375
2021-04-16,24744.0,8613.5
2021-04-19,24691.0,8711.400390625
2021-04-20,24089.0,8459.400390625
2021-04-21,24161.0,8519.7998046875
2021-04-22,24398.0,8656.7998046875
2021-04-23,24386.0,8618.599609375
2021-04-26,24514.0,8701.900390625
2021-04-27,24473.0,8756.7001953125
2021-04-28,24460.0,8799.599609375
2021-04-29,24278.0,8823.2001953125
2021-04-30,24141.0,8815.0
2021-05-03,24420.0,8893.7001953125
2021-05-04,23978.0,8830.400390625
2021-05-05,24464.0,8967.7998046875
2021-05-06,24495.0,8982.2001953125
2021-05-07,24612.0,9059.2001953125
2021-05-10,24803.0,9144.2998046875
2021-05-11,24396.0,8987.2001953125
2021-05-12,24453.0,9007.7001953125
2021-05-13,24486.0,8966.2001953125
2021-05-14,24766.0,9145.599609375
2021-05-17,24863.0,9155.599609375
2021-05-18,24880.0,9183.900390625
2021-05-19,24487.0,9070.7001953125
2021-05-20,24702.0,9124.2998046875
2021-05-21,24975.0,9204.0
2021-05-24,24891.0,9205.5
2021-05-25,24893.0,9208.7001953125
2021-05-26,24778.0,9196.900390625
2021-05-27,25056.0,9186.099609375
2021-05-28,25169.0,9224.599609375
2021-05-31,25171.0,9148.900390625
2021-06-01,25322.0,9189.7001953125
2021-06-02,25380.0,9180.7001953125
2021-06-03,25452.0,9142.400390625
2021-06-04,25570.0,9088.2998046875
2021-06-07,25825.0,9163.599609375
2021-06-08,25809.0,9153.599609375
2021-06-09,25742.0,9156.099609375
2021-06-10,25638.0,9133.7998046875
2021-06-11,25717.0,9205.0
2021-06-14,25758.0,9281.099609375
2021-06-15,25737.0,9230.7001953125
2021-06-16,25768.0,9202.2001953125
2021-06-17,25714.0,9195.900390625
2021-06-18,25218.0,9030.599609375
2021-06-21,25398.0,9051.7001953125
2021-06-22,25316.0,9053.2998046875
2021-06-23,25077.0,8954.099609375
2021-06-24,25422.0,9074.099609375
2021-06-25,25511.0,9095.0
2021-06-28,25227.0,8913.7001953125
2021-06-29,25357.0,8915.099609375
2021-06-30,25102.0,8821.2001953125
2021-07-01,25286.0,8932.2998046875
2021-07-02,25282.0,8907.599609375
2021-07-05,25441.0,8946.400390625
2021-07-06,25228.0,8860.7998046875
2021-07-07,25285.0,8854.5
2021-07-08,24641.0,8650.099609375
2021-07-09,25052.0,8776.599609375
2021-07-12,25283.0,8816.7001953125
2021-07-13,25157.0,8694.7998046875
2021-07-14,25194.0,8658.2998046875
2021-07-15,24876.0,8527.0
2021-07-16,24793.0,8506.2001953125
2021-07-19,23966.0,8301.7001953125
2021-07-20,24107.0,8358.0
2021-07-21,24676.0,8567.0
2021-07-22,24805.0,8621.7998046875
2021-07-23,25125.0,8717.2001953125
2021-07-26,25296.0,8775.2001953125
2021-07-27,25087.0,8699.2001953125
2021-07-28,25262.0,8733.7001953125
2021-07-29,25516.0,8786.2998046875
2021-07-30,25363.0,8675.7001953125
2021-08-02,25352.0,8758.7001953125
2021-08-03,25356.0,8772.7998046875
2021-08-04,25490.0,8792.900390625
2021-08-05,25666.0,8836.5
2021-08-06,26000.0,8879.0
2021-08-09,26139.0,8865.900390625
2021-08-10,26201.0,8899.0
2021-08-11,26457.0,8975.7998046875
2021-08-12,26558.0,8979.400390625
2021-08-13,26653.0,8999.7998046875
2021-08-16,26449.0,8926.599609375
2021-08-17,26225.0,8865.7001953125
2021-08-18,26357.0,8970.2001953125
2021-08-19,25929.0,8902.2001953125
2021-08-20,25918.0,8915.2998046875
2021-08-23,26046.0,8968.099609375
2021-08-24,26028.0,8948.599609375
2021-08-25,26060.0,8977.400390625
2021-08-26,25862.0,8892.7001953125
2021-08-27,26007.0,8922.2001953125
2021-08-30,26024.0,8867.900390625
2021-08-31,26009.0,8846.599609375
2021-09-01,26182.0,8991.5
2021-09-02,26233.0,8981.400390625
2021-09-03,26065.0,8864.0
2021-09-06,26263.0,8882.2998046875
2021-09-07,26074.0,8894.5
2021-09-08,25877.0,8838.7001953125
2021-09-09,25910.0,8800.599609375
2021-09-10,25686.0,8695.2998046875
2021-09-13,25926.0,8816.099609375
2021-09-14,26027.0,8780.0
2021-09-15,25762.0,8635.400390625
2021-09-16,25964.0,8733.7001953125
2021-09-17,25710.0,8760.900390625
2021-09-20,25048.0,8655.400390625
2021-09-21,25353.0,8756.0
2021-09-22,25717.0,8808.400390625
2021-09-23,26081.0,8876.900390625
2021-09-24,25969.0,8873.099609375
2021-09-27,26132.0,9002.900390625
2021-09-28,25573.0,8769.400390625
2021-09-29,25737.0,8879.400390625
2021-09-30,25684.0,8796.2998046875
2021-10-01,25615.0,8799.5
2021-10-04,25461.0,8791.7001953125
2021-10-05,25956.0,8927.400390625
2021-10-06,25606.0,8775.0
2021-10-07,25992.0,8962.7998046875
2021-10-08,26051.0,8955.0
2021-10-11,25930.0,8899.0
2021-10-12,25990.0,8935.900390625
2021-10-13,25959.0,8881.400390625
2021-10-14,26278.0,8925.0
2021-10-15,26489.0,8997.0
2021-10-18,26269.0,8936.0
2021-10-19,26333.0,8996.2998046875
2021-10-20,26582.0,9017.900390625
2021-10-21,26525.0,8944.2998046875
2021-10-22,26572.0,8906.400390625
2021-10-25,26816.0,8920.900390625
2021-10-26,26971.0,9001.599609375
2021-10-27,26806.0,8972.2998046875
2021-10-28,26890.0,9025.7998046875
2021-10-29,26876.0,9057.7001953125
2021-11-01,27206.0,9182.599609375
2021-11-02,27190.0,9105.7001953125
2021-11-03,27378.0,9030.7998046875
2021-11-04,27522.0,9039.400390625
2021-11-05,27796.0,9130.599609375
2021-11-08,27711.0,9070.7998046875
2021-11-09,27441.0,9074.900390625
2021-11-10,27561.0,9141.7998046875
2021-11-11,27633.0,9092.2001953125
2021-11-12,27732.0,9080.7998046875
2021-11-15,27868.0,9095.7001953125
2021-11-16,27805.0,9040.2001953125
2021-11-17,27825.0,8993.400390625
2021-11-18,27662.0,8903.2001953125
2021-11-19,27337.0,8753.2001953125
2021-11-22,27383.0,8821.2998046875
2021-11-23,26939.0,8815.099609375
2021-11-24,27109.0,8792.0
2021-11-25,27099.0,8840.900390625
2021-11-26,25853.0,8402.7001953125
2021-11-29,26042.0,8455.2001953125
2021-11-30,25814.0,8305.099609375
2021-12-01,26372.0,8452.599609375
2021-12-02,26005.0,8300.7998046875
2021-12-03,25939.0,8241.7001953125
2021-12-06,26498.0,8439.7001953125
2021-12-07,27138.0,8559.5
2021-12-08,26752.0,8478.400390625
2021-12-09,26817.0,8399.599609375
2021-12-10,26722.0,8360.2001953125
2021-12-13,26551.0,8322.7001953125
2021-12-14,26557.0,8378.5
2021-12-15,26666.0,8275.0
2021-12-16,26782.0,8380.0
2021-12-17,26611.0,8311.599609375
2021-12-20,26178.0,8242.400390625
2021-12-21,26653.0,8387.5
2021-12-22,26828.0,8459.099609375
2021-12-23,27016.0,8563.7001953125
2021-12-24,27016.0,8563.7001953125
2021-12-27,27231.0,8622.099609375
2021-12-28,27445.0,8688.900390625
2021-12-29,27344.0,8673.7001953125
2021-12-30,27347.0,8713.7998046875
2021-12-31,27347.0,8713.7998046875
2022-01-03,27730.0,8761.2001953125
2022-01-04,27955.0,8795.7998046875
2022-01-05,28163.0,8790.7998046875
2022-01-06,27656.0,8789.900390625
2022-01-07,27618.0,8751.7998046875
2022-01-10,27354.0,8706.900390625
2022-01-11,27535.0,8755.900390625
2022-01-12,27714.0,8770.2998046875
2022-01-13,27844.0,8816.900390625
2022-01-14,27544.0,8806.599609375
2022-01-17,27689.0,8838.7001953125
2022-01-18,27483.0,8781.599609375
2022-01-19,27371.0,8774.900390625
2022-01-20,27570.0,8814.599609375
2022-01-21,27061.0,8694.7001953125
2022-01-24,25973.0,8417.7998046875
2022-01-25,26029.0,8479.5
2022-01-26,26619.0,8620.2001953125
2022-01-27,26882.0,8706.0
2022-01-28,26565.0,8609.7998046875
2022-01-31,26814.0,8612.7998046875
2022-02-01,27225.0,8726.7001953125
2022-02-02,27389.0,8713.2001953125
2022-02-03,27089.0,8689.400390625
2022-02-04,26604.0,8589.2998046875
2022-02-07,26329.0,8558.400390625
2022-02-08,26412.0,8674.599609375
2022-02-09,27129.0,8846.400390625
2022-02-10,27190.0,8886.2001953125
2022-02-11,26966.0,8798.099609375
2022-02-14,26415.0,8573.7998046875
2022-02-15,26968.0,8718.0
2022-02-16,26969.0,8737.2001953125
2022-02-17,26669.0,8671.099609375
2022-02-18,26507.0,8590.0
2022-02-21,26050.0,8488.900390625
2022-02-22,26044.0,8493.2001953125
2022-02-23,25955.0,8440.099609375
2022-02-24,24878.0,8198.5
2022-02-25,25773.0,8486.599609375
2022-02-28,25416.0,8479.2001953125
2022-03-01,24364.0,8188.2001953125
2022-03-02,24534.0,8321.0
2022-03-03,23959.0,8011.39990234375
2022-03-04,22465.0,7720.89990234375
2022-03-07,22160.0,7644.60009765625
2022-03-08,22336.0,7783.39990234375
2022-03-09,23889.0,8163.10009765625
2022-03-10,22887.0,8069.2998046875
2022-03-11,23041.0,8142.10009765625
2022-03-14,23427.0,8234.400390625
2022-03-15,23500.0,8236.099609375
2022-03-16,24285.0,8380.400390625
2022-03-17,24124.0,8412.0
2022-03-18,24222.0,8417.599609375
2022-03-21,24295.0,8389.2001953125
2022-03-22,24534.0,8487.2001953125
2022-03-23,24299.0,8328.400390625
2022-03-24,24401.0,8305.099609375
2022-03-25,24559.0,8330.599609375
2022-03-28,24713.0,8365.599609375
2022-03-29,25308.0,8614.599609375
2022-03-30,25300.0,8550.599609375
2022-03-31,25021.0,8445.099609375
2022-04-01,25163.0,8503.7001953125
2022-04-04,25176.0,8520.7998046875
2022-04-05,24960.0,8623.2998046875
2022-04-06,24447.0,8482.099609375
2022-04-07,24303.0,8467.400390625
2022-04-08,24819.0,8606.400390625
2022-04-11,24749.0,8585.0
2022-04-12,24667.0,8578.0
2022-04-13,24722.0,8617.7998046875
2022-04-14,24862.0,8699.0
2022-04-15,24862.0,8699.0
2022-04-18,24862.0,8699.0
2022-04-19,24624.0,8694.0
2022-04-20,24878.0,8769.5
2022-04-21,24806.0,8814.599609375
2022-04-22,24280.0,8652.2998046875
2022-04-25,23909.0,8574.599609375
2022-04-26,23682.0,8439.2998046875
2022-04-27,23830.0,8477.7001953125
2022-04-28,24056.0,8512.2001953125
2022-04-29,24252.0,8584.2001953125
2022-05-02,23857.0,8436.0
2022-05-03,24242.0,8590.2001953125
2022-05-04,23902.0,8500.5
2022-05-05,23760.0,8434.7001953125
2022-05-06,23476.0,8322.0
2022-05-09,22833.0,8139.2001953125
2022-05-10,23070.0,8139.2001953125
2022-05-11,23724.0,8312.599609375
2022-05-12,23566.0,8200.400390625
2022-05-13,24048.0,8338.099609375
2022-05-16,24033.0,8353.7001953125
2022-05-17,24302.0,8475.7001953125
2022-05-18,24086.0,8476.400390625
2022-05-19,24065.0,8406.0
2022-05-20,24095.0,8484.5
2022-05-23,24137.0,8625.7998046875
2022-05-24,23876.0,8631.2001953125
2022-05-25,24250.0,8760.2001953125
2022-05-26,24547.0,8888.7998046875
2022-05-27,24636.0,8933.599609375
2022-05-30,24809.0,8930.7998046875
2022-05-31,24505.0,8851.5
2022-06-01,24284.0,8747.2001953125
2022-06-02,24427.0,8744.099609375
2022-06-03,24167.0,8724.7998046875
2022-06-06,24566.0,8836.2998046875
2022-06-07,24366.0,8841.599609375
