Date,P911.DE,VOW3.DE
2022-09-30,75.25254821777344,102.10482025146484
2022-10-03,74.61404418945312,102.13713073730469
2022-10-04,79.79507446289062,106.09530639648438
2022-10-05,80.1964111328125,104.70590209960938
2022-10-06,82.75043487548828,106.93540954589844
2022-10-07,84.02745819091797,105.23904418945312
2022-10-10,79.6308822631836,100.5376968383789
2022-10-11,76.25591278076172,99.60066986083984
2022-10-12,79.21128845214844,99.42294311523438
2022-10-13,79.0106201171875,100.29537200927734
2022-10-14,79.81330871582031,100.39229583740234
2022-10-17,82.36734008789062,103.21957397460938
2022-10-18,84.02745819091797,105.33598327636719
2022-10-19,85.15852355957031,104.89977264404297
2022-10-20,85.74230194091797,104.91593170166016
2022-10-21,87.63957214355469,104.7220687866211
2022-10-24,87.20174407958984,105.19058227539062
2022-10-25,89.39090728759766,105.96605682373047
2022-10-26,90.99629974365234,105.85295867919922
2022-10-27,90.54022216796875,105.57831573486328
2022-10-28,91.14224243164062,103.59115600585938
2022-10-31,94.40774536132812,104.47972106933594
2022-11-01,94.81820678710938,106.79000091552734
2022-11-02,93.67801666259766,105.8368148803711
2022-11-03,90.41252136230469,103.33265686035156
2022-11-04,91.21521759033203,107.50086975097656
2022-11-07,91.21521759033203,110.15042114257812
2022-11-08,90.94155883789062,110.13426208496094
2022-11-09,92.53782653808594,109.2618408203125
2022-11-10,92.49222564697266,112.28298950195312
2022-11-11,90.7591323852539,115.25566101074219
2022-11-14,91.89933013916016,115.86959075927734
2022-11-15,95.7759780883789,115.83727264404297
2022-11-16,95.7759780883789,110.99051666259766
2022-11-17,96.9161605834961,111.95987701416016
2022-11-18,97.64588928222656,114.59327697753906
2022-11-21,99.33335876464844,112.79997253417969
2022-11-22,100.97523498535156,112.89690399169922
2022-11-23,98.46681213378906,110.78050231933594
2022-11-24,97.96514129638672,110.66740417480469
2022-11-25,97.82831573486328,110.31197357177734
2022-11-28,95.7759780883789,109.24569702148438
2022-11-29,97.09858703613281,111.345947265625
2022-11-30,99.24214935302734,113.01000213623047
2022-12-01,98.19317626953125,112.58995819091797
2022-12-02,97.60027313232422,112.29914855957031
2022-12-05,96.41447448730469,113.76931762695312
2022-12-06,95.7759780883789,112.9292221069336
2022-12-07,96.23204803466797,111.15209197998047
2022-12-08,92.44660949707031,110.34429168701172
2022-12-09,92.49222564697266,110.86128997802734
2022-12-12,93.2219467163086,109.95654296875
2022-12-13,94.72699737548828,111.2974853515625
2022-12-14,92.62904357910156,111.28131866455078
2022-12-15,89.15374755859375,107.88860321044922
2022-12-16,85.41392517089844,110.29581451416016
2022-12-19,88.36929321289062,98.53437805175781
2022-12-20,84.75717163085938,96.30487060546875
2022-12-21,86.1618881225586,96.75724792480469
2022-12-22,83.80853271484375,92.79905700683594
2022-12-23,84.02745819091797,93.42913818359375
2022-12-26,84.02745819091797,93.42913818359375
2022-12-27,86.12540435791016,93.5906982421875
2022-12-28,84.79366302490234,92.86368560791016
2022-12-29,87.01931762695312,93.81687927246094
2022-12-30,86.4264144897461,94.04306030273438
2023-01-02,87.0649185180664,96.96726989746094
2023-01-03,85.9703369140625,98.5989990234375
2023-01-04,86.70005798339844,101.68476104736328
2023-01-05,87.47538757324219,102.68643188476562
2023-01-06,87.33856964111328,103.52653503417969
2023-01-09,91.07838439941406,103.41344451904297
2023-01-10,92.21857452392578,102.815673828125
2023-01-11,93.76924133300781,103.21957397460938
2023-01-12,95.59355163574219,103.97889709472656
2023-01-13,95.59355163574219,101.0546875
2023-01-16,94.31653594970703,101.55552673339844
2023-01-17,97.23541259765625,101.16777801513672
2023-01-18,95.4111099243164,101.1354751586914
2023-01-19,95.0462417602539,99.47142028808594
2023-01-20,93.67801666259766,100.37614440917969
2023-01-23,95.13746643066406,101.10316467285156
2023-01-24,93.76924133300781,100.00456237792969
2023-01-25,94.95503234863281,100.24690246582031
2023-01-26,95.7759780883789,100.97391510009766
2023-01-27,95.7759780883789,100.97391510009766
2023-01-30,97.60027313232422,101.99172973632812
2023-01-31,99.42457580566406,102.54103088378906
2023-02-01,99.88066101074219,103.73655700683594
2023-02-02,107.99880981445312,107.67858123779297
2023-02-03,104.62384033203125,106.57998657226562
2023-02-06,101.43131256103516,105.28751373291016
2023-02-07,102.70832824707031,106.03067779541016
2023-02-08,103.80291748046875,104.4474105834961
2023-02-09,104.44142150878906,105.22288513183594
2023-02-10,103.52925872802734,103.88196563720703
2023-02-13,103.80291748046875,103.7042465209961
2023-02-14,104.16777038574219,105.17442321777344
2023-02-15,104.89749145507812,105.80450439453125
2023-02-16,104.8062744140625,105.80450439453125
2023-02-17,104.0765609741211,105.99836730957031
2023-02-20,104.44142150878906,107.19390106201172
2023-02-21,103.34683227539062,105.88528442382812
2023-02-22,103.52925872802734,105.98221588134766
2023-02-23,104.16777038574219,106.54766845703125
2023-02-24,100.79280853271484,103.23572540283203
2023-02-27,102.89076232910156,104.47972106933594
2023-02-28,104.0765609741211,104.3343276977539
2023-03-01,103.25560760498047,103.80117797851562
2023-03-02,102.25225067138672,103.89811706542969
2023-03-03,104.62384033203125,114.867919921875
2023-03-06,104.89749145507812,112.832275390625
2023-03-07,105.80964660644531,112.12144470214844
2023-03-08,107.63394165039062,113.13923645019531
2023-03-09,105.80964660644531,110.82897186279297
2023-03-10,104.0765609741211,109.13260650634766
2023-03-13,99.33335876464844,105.38445281982422
2023-03-14,104.89749145507812,103.72039794921875
2023-03-15,102.98197937011719,99.50373077392578
2023-03-16,105.2623519897461,98.9705810546875
2023-03-17,104.53263092041016,97.2903823852539
