Date,HM-B.ST,ITX.MC
2020-08-10,118.20680236816406,20.152969360351562
2020-08-11,123.27513885498047,21.08556365966797
2020-08-12,120.98622131347656,21.36978530883789
2020-08-13,121.9671859741211,21.40531349182129
2020-08-14,117.55281066894531,21.03227424621582
2020-08-17,117.5119400024414,21.05004119873047
2020-08-18,114.77340698242188,20.685882568359375
2020-08-19,115.75437927246094,20.668115615844727
2020-08-20,113.22020721435547,20.38389778137207
2020-08-21,113.05671691894531,20.579299926757812
2020-08-24,117.30758666992188,21.041154861450195
2020-08-25,117.30758666992188,21.058921813964844
2020-08-26,116.7762222290039,21.28096580505371
2020-08-27,116.24486541748047,21.32537841796875
2020-08-28,114.85516357421875,21.360902786254883
2020-08-31,112.72972106933594,20.91680908203125
2020-09-01,110.60429382324219,20.650354385375977
2020-09-02,111.50349426269531,20.86351776123047
2020-09-03,113.50633239746094,21.03227424621582
2020-09-04,112.48448181152344,20.463834762573242
2020-09-07,116.24486541748047,20.543771743774414
2020-09-08,117.55281066894531,20.463834762573242
2020-09-09,115.42737579345703,20.277315139770508
2020-09-10,116.85796356201172,20.650354385375977
2020-09-11,116.89884185791016,20.650354385375977
2020-09-14,116.6944808959961,20.170732498168945
2020-09-15,129.28358459472656,21.209911346435547
2020-09-16,131.2455291748047,22.924110412597656
2020-09-17,131.2455291748047,22.613248825073242
2020-09-18,129.03834533691406,22.071455001831055
2020-09-21,121.9671859741211,21.591835021972656
2020-09-22,121.59931182861328,21.2720890045166
2020-09-23,122.45767974853516,21.5296573638916
2020-09-24,119.84174346923828,20.854637145996094
2020-09-25,120.33223724365234,20.801349639892578
2020-09-28,124.74661254882812,21.3076114654541
2020-09-29,125.93193817138672,21.263202667236328
2020-09-30,126.50415802001953,21.13885498046875
2020-10-01,134.18838500976562,21.58295249938965
2020-10-02,132.2673797607422,21.40531349182129
2020-10-05,131.2455291748047,21.591835021972656
2020-10-06,133.53445434570312,21.68065071105957
2020-10-07,134.2292938232422,21.520776748657227
2020-10-08,133.94317626953125,21.476367950439453
2020-10-09,132.30824279785156,21.54742431640625
2020-10-12,130.91854858398438,21.520776748657227
2020-10-13,128.58872985839844,21.43195915222168
2020-10-14,129.52880859375,21.35202407836914
2020-10-15,125.31884765625,20.845752716064453
2020-10-16,126.50415802001953,20.872400283813477
2020-10-19,128.42523193359375,21.209911346435547
2020-10-20,129.6923065185547,21.316495895385742
2020-10-21,126.83113861083984,21.289852142333984
2020-10-22,129.324462890625,21.218793869018555
2020-10-23,129.2018280029297,21.48525047302246
2020-10-26,125.48231506347656,20.8990478515625
2020-10-27,121.35406494140625,20.090797424316406
2020-10-28,116.57186126708984,19.389127731323242
2020-10-29,116.32661437988281,19.289836883544922
2020-10-30,118.20680236816406,19.127355575561523
2020-11-02,117.38933563232422,19.30788803100586
2020-11-03,122.13068389892578,20.04806900024414
2020-11-04,121.39494323730469,20.40010643005371
2020-11-05,125.93193817138672,20.96878433227539
2020-11-06,126.17717742919922,20.96878433227539
2020-11-09,138.64366149902344,23.91145133972168
2020-11-10,143.0580291748047,24.615528106689453
2020-11-11,140.52383422851562,24.21835708618164
2020-11-12,137.37655639648438,23.821184158325195
2020-11-13,137.7035675048828,24.073930740356445
2020-11-16,141.79092407226562,24.8502197265625
2020-11-17,140.23773193359375,24.53428840637207
2020-11-18,142.52667236328125,24.669689178466797
2020-11-19,141.42308044433594,24.344730377197266
2020-11-20,143.34414672851562,24.58844757080078
2020-11-23,144.0798797607422,24.543315887451172
2020-11-24,153.72605895996094,25.256418228149414
2020-11-25,152.05023193359375,25.364736557006836
2020-11-26,151.11013793945312,25.283496856689453
2020-11-27,149.31170654296875,25.52721405029297
2020-11-30,148.45335388183594,25.139068603515625
2020-12-01,151.84588623046875,25.121017456054688
2020-12-02,150.57879638671875,25.202255249023438
2020-12-03,152.1728515625,24.958538055419922
2020-12-04,153.56256103515625,25.039779663085938
2020-12-07,154.09393310546875,24.913406372070312
2020-12-08,152.8677215576172,24.263492584228516
2020-12-09,152.33636474609375,24.498178482055664
2020-12-10,152.1728515625,24.11906623840332
2020-12-11,148.7394561767578,23.830215454101562
2020-12-14,149.5978240966797,24.77800750732422
2020-12-15,145.2652130126953,24.16419792175293
2020-12-16,145.01995849609375,23.974639892578125
2020-12-17,145.38783264160156,23.965612411499023
2020-12-18,142.07705688476562,23.613576889038086
2020-12-21,138.15316772460938,22.85533905029297
2020-12-22,140.2786102294922,23.25251007080078
2020-12-23,141.0143280029297,23.351806640625
2020-12-24,141.0143280029297,23.42401695251465
2020-12-25,141.0143280029297,23.42401695251465
2020-12-28,141.0143280029297,23.76702880859375
2020-12-29,142.2814178466797,23.794109344482422
2020-12-30,140.60560607910156,23.821184158325195
2020-12-31,140.60560607910156,23.505258560180664
2021-01-01,140.60560607910156,23.505258560180664
2021-01-04,139.78811645507812,23.324722290039062
2021-01-05,139.62461853027344,23.243486404418945
2021-01-06,139.62461853027344,23.830215454101562
2021-01-07,145.01995849609375,23.6767635345459
2021-01-08,145.46957397460938,24.11906623840332
2021-01-11,143.67112731933594,23.667736053466797
2021-01-12,145.01995849609375,23.568443298339844
2021-01-13,143.67112731933594,23.270565032958984
2021-01-14,146.85928344726562,23.757999420166016
2021-01-15,147.186279296875,23.5233097076416
2021-01-18,150.8240203857422,23.649681091308594
2021-01-19,149.88392639160156,23.433046340942383
2021-01-20,150.41529846191406,23.622602462768555
2021-01-21,150.74229431152344,23.451095581054688
2021-01-22,149.31170654296875,23.09906005859375
2021-01-25,143.46676635742188,22.42206382751465
2021-01-26,145.46957397460938,22.620647430419922
2021-01-27,151.96847534179688,22.557466506958008
2021-01-28,154.09393310546875,22.656755447387695
2021-01-29,146.3279266357422,22.10613250732422
2021-02-01,144.69296264648438,22.214454650878906
2021-02-02,146.7775421142578,22.566490173339844
2021-02-03,147.390625,22.683834075927734
2021-02-04,148.16725158691406,23.180299758911133
2021-02-05,150.1700439453125,23.586496353149414
2021-02-08,148.94386291503906,23.44207000732422
2021-02-09,146.85928344726562,23.378881454467773
2021-02-10,144.97911071777344,23.15321922302246
2021-02-11,147.5541534423828,23.09906005859375
2021-02-12,147.0227813720703,23.207378387451172
2021-02-15,151.72325134277344,23.6767635345459
2021-02-16,151.4779815673828,23.405963897705078
2021-02-17,151.2736358642578,23.333749771118164
2021-02-18,153.72605895996094,23.505258560180664
2021-02-19,154.5026397705078,23.378881454467773
2021-02-22,155.32015991210938,23.496231079101562
2021-02-23,159.8162384033203,24.77800750732422
2021-02-24,161.20596313476562,24.362783432006836
2021-02-25,162.96351623535156,24.913406372070312
2021-02-26,162.67739868164062,24.651630401611328
2021-03-01,165.3750762939453,25.084909439086914
2021-03-02,164.31236267089844,25.373762130737305
2021-03-03,166.1107940673828,25.59040069580078
2021-03-04,167.90924072265625,24.88632583618164
