Date,VIXY,^VIX
2020-08-10,1688.0,22.1299991607666
2020-08-11,1767.199951171875,24.030000686645508
2020-08-12,1671.199951171875,22.280000686645508
2020-08-13,1671.199951171875,22.1299991607666
2020-08-14,1672.800048828125,22.049999237060547
2020-08-17,1608.800048828125,21.350000381469727
2020-08-18,1593.5999755859375,21.510000228881836
2020-08-19,1624.800048828125,22.540000915527344
2020-08-20,1607.199951171875,22.719999313354492
2020-08-21,1614.4000244140625,22.540000915527344
2020-08-24,1608.800048828125,22.3700008392334
2020-08-25,1597.5999755859375,22.030000686645508
2020-08-26,1634.4000244140625,23.270000457763672
2020-08-27,1686.4000244140625,24.469999313354492
2020-08-28,1677.5999755859375,22.959999084472656
2020-08-31,1757.5999755859375,26.40999984741211
2020-09-01,1789.5999755859375,26.1200008392334
2020-09-02,1837.5999755859375,26.56999969482422
2020-09-03,2080.800048828125,33.599998474121094
2020-09-04,1907.199951171875,30.75
2020-09-07,1907.199951171875,30.75
2020-09-08,1852.800048828125,31.459999084472656
2020-09-09,1759.199951171875,28.809999465942383
2020-09-10,1779.199951171875,29.709999084472656
2020-09-11,1670.4000244140625,26.8700008392334
2020-09-14,1644.0,25.850000381469727
2020-09-15,1643.199951171875,25.59000015258789
2020-09-16,1633.5999755859375,26.040000915527344
2020-09-17,1597.5999755859375,26.459999084472656
2020-09-18,1598.4000244140625,25.829999923706055
2020-09-21,1651.199951171875,27.780000686645508
2020-09-22,1662.4000244140625,26.860000610351562
2020-09-23,1751.199951171875,28.579999923706055
2020-09-24,1720.0,28.510000228881836
2020-09-25,1673.5999755859375,26.3799991607666
2020-09-28,1668.0,26.190000534057617
2020-09-29,1635.199951171875,26.270000457763672
2020-09-30,1632.800048828125,26.3700008392334
2020-10-01,1640.800048828125,26.700000762939453
2020-10-02,1687.199951171875,27.6299991607666
2020-10-05,1637.5999755859375,27.959999084472656
2020-10-06,1658.4000244140625,29.479999542236328
2020-10-07,1606.4000244140625,28.059999465942383
2020-10-08,1543.199951171875,26.360000610351562
2020-10-09,1461.5999755859375,25.0
2020-10-12,1434.4000244140625,25.06999969482422
2020-10-13,1449.5999755859375,26.06999969482422
2020-10-14,1437.5999755859375,26.399999618530273
2020-10-15,1448.800048828125,26.969999313354492
2020-10-16,1458.4000244140625,27.40999984741211
2020-10-19,1523.199951171875,29.18000030517578
2020-10-20,1522.4000244140625,29.350000381469727
2020-10-21,1485.5999755859375,28.649999618530273
2020-10-22,1452.0,28.110000610351562
2020-10-23,1453.5999755859375,27.549999237060547
2020-10-26,1580.800048828125,32.459999084472656
2020-10-27,1588.0,33.349998474121094
2020-10-28,1816.800048828125,40.279998779296875
2020-10-29,1664.0,37.59000015258789
2020-10-30,1738.4000244140625,38.02000045776367
2020-11-02,1700.800048828125,37.130001068115234
2020-11-03,1611.199951171875,35.54999923706055
2020-11-04,1469.5999755859375,29.56999969482422
2020-11-05,1441.5999755859375,27.579999923706055
2020-11-06,1348.0,24.860000610351562
2020-11-09,1317.5999755859375,25.75
2020-11-10,1275.199951171875,24.799999237060547
2020-11-11,1249.5999755859375,23.450000762939453
2020-11-12,1333.5999755859375,25.350000381469727
2020-11-13,1251.199951171875,23.100000381469727
2020-11-16,1219.199951171875,22.450000762939453
2020-11-17,1200.0,22.709999084472656
2020-11-18,1244.800048828125,23.84000015258789
2020-11-19,1221.5999755859375,23.110000610351562
2020-11-20,1217.5999755859375,23.700000762939453
2020-11-23,1202.4000244140625,22.65999984741211
2020-11-24,1184.0,21.639999389648438
2020-11-25,1140.800048828125,21.25
2020-11-26,1140.800048828125,21.25
2020-11-27,1148.0,20.84000015258789
2020-11-30,1125.5999755859375,20.56999969482422
2020-12-01,1134.4000244140625,20.770000457763672
2020-12-02,1129.5999755859375,21.170000076293945
2020-12-03,1138.4000244140625,21.280000686645508
2020-12-04,1121.5999755859375,20.790000915527344
2020-12-07,1128.0,21.299999237060547
2020-12-08,1088.800048828125,20.68000030517578
2020-12-09,1128.0,22.270000457763672
2020-12-10,1137.5999755859375,22.520000457763672
2020-12-11,1180.800048828125,23.309999465942383
2020-12-14,1208.800048828125,24.719999313354492
2020-12-15,1152.0,22.889999389648438
2020-12-16,1112.0,22.5
2020-12-17,1100.0,21.93000030517578
2020-12-18,1126.4000244140625,21.56999969482422
2020-12-21,1208.0,25.15999984741211
2020-12-22,1184.800048828125,24.229999542236328
2020-12-23,1139.199951171875,23.309999465942383
2020-12-24,1108.0,21.530000686645508
2020-12-25,1108.0,21.530000686645508
2020-12-28,1100.0,21.700000762939453
2020-12-29,1143.199951171875,23.079999923706055
2020-12-30,1100.0,22.770000457763672
2020-12-31,1099.199951171875,22.75
2021-01-01,1099.199951171875,22.75
2021-01-04,1204.0,26.969999313354492
2021-01-05,1158.4000244140625,25.34000015258789
2021-01-06,1151.199951171875,25.06999969482422
2021-01-07,1080.800048828125,22.3700008392334
2021-01-08,1070.4000244140625,21.559999465942383
2021-01-11,1136.0,24.079999923706055
2021-01-12,1097.5999755859375,23.329999923706055
2021-01-13,1080.0,22.209999084472656
2021-01-14,1093.5999755859375,23.25
2021-01-15,1120.800048828125,24.34000015258789
2021-01-18,1120.800048828125,24.34000015258789
2021-01-19,1089.5999755859375,23.239999771118164
2021-01-20,1067.199951171875,21.579999923706055
2021-01-21,1058.4000244140625,21.31999969482422
2021-01-22,1073.5999755859375,21.90999984741211
2021-01-25,1116.800048828125,23.190000534057617
2021-01-26,1098.4000244140625,23.020000457763672
2021-01-27,1326.4000244140625,37.209999084472656
