Date,ASML.AS,IFX.DE
2020-08-10,294.19989013671875,20.599308013916016
2020-08-11,297.9191589355469,21.47077751159668
2020-08-12,301.78143310546875,21.494718551635742
2020-08-13,304.02239990234375,21.288822174072266
2020-08-14,299.4449462890625,20.824357986450195
2020-08-17,304.1177978515625,21.547393798828125
2020-08-18,302.7350158691406,21.53302574157715
2020-08-19,302.7350158691406,21.53302574157715
2020-08-20,297.5376892089844,21.15953826904297
2020-08-21,299.0634765625,21.22657585144043
2020-08-24,303.78399658203125,21.82990074157715
2020-08-25,304.30853271484375,21.949609756469727
2020-08-26,310.50726318359375,22.840234756469727
2020-08-27,304.8807678222656,22.361404418945312
2020-08-28,302.01983642578125,22.3470401763916
2020-08-31,299.7309875488281,22.1794490814209
2020-09-01,308.17083740234375,22.505054473876953
2020-09-02,317.707275390625,23.026981353759766
2020-09-03,303.16412353515625,21.916093826293945
2020-09-04,290.67138671875,21.815540313720703
2020-09-07,289.9084777832031,22.514629364013672
2020-09-08,283.6143798828125,22.088470458984375
2020-09-09,290.71905517578125,22.945575714111328
2020-09-10,290.95745849609375,22.85938835144043
2020-09-11,293.24627685546875,22.8785400390625
2020-09-14,295.8687438964844,23.625518798828125
2020-09-15,297.9191589355469,23.3669490814209
2020-09-16,297.9191589355469,23.410045623779297
2020-09-17,292.7217102050781,23.065282821655273
2020-09-18,294.1522521972656,22.902482986450195
2020-09-21,288.90716552734375,22.002281188964844
2020-09-22,292.3880310058594,22.3901309967041
2020-09-23,297.5376892089844,22.457170486450195
2020-09-24,293.8660888671875,22.457170486450195
2020-09-25,292.960205078125,21.99749183654785
2020-09-28,300.20782470703125,22.892908096313477
2020-09-29,303.4979248046875,23.161052703857422
2020-09-30,300.11248779296875,23.094017028808594
2020-10-01,306.5019226074219,24.846534729003906
2020-10-02,305.0714416503906,24.34376335144043
2020-10-05,305.4052429199219,24.621484756469727
2020-10-06,302.4966125488281,24.659793853759766
2020-10-07,303.8794250488281,25.186506271362305
2020-10-08,307.2648620605469,25.698854446411133
2020-10-09,312.8913879394531,26.345279693603516
2020-10-12,320.32977294921875,26.89593505859375
2020-10-13,328.29278564453125,26.39794921875
2020-10-14,325.0980224609375,26.6325740814209
2020-10-15,313.844970703125,26.2064151763916
2020-10-16,315.27545166015625,26.441043853759766
2020-10-19,314.3218078613281,26.460195541381836
2020-10-20,311.03173828125,26.11543846130371
2020-10-21,309.4582214355469,25.81377601623535
2020-10-22,305.2621765136719,25.45943832397461
2020-10-23,301.9244384765625,25.66533660888672
2020-10-26,294.9627380371094,25.2966365814209
2020-10-27,295.1059265136719,24.5544490814209
2020-10-28,294.7243957519531,22.68701171875
2020-10-29,300.3985290527344,22.897693634033203
2020-10-30,297.5376892089844,22.888120651245117
2020-11-02,300.3617858886719,23.41962242126465
2020-11-03,304.8134460449219,24.453893661499023
2020-11-04,308.88201904296875,24.45868492126465
2020-11-05,320.9443359375,25.263118743896484
2020-11-06,324.77362060546875,25.29184913635254
2020-11-09,339.5644226074219,26.19205093383789
2020-11-10,326.1617736816406,25.07158851623535
2020-11-11,335.7829284667969,25.67491340637207
2020-11-12,337.8411560058594,25.028491973876953
2020-11-13,337.7453918457031,25.239177703857422
2020-11-16,342.81927490234375,25.689279556274414
2020-11-17,343.7287292480469,25.536054611206055
2020-11-18,342.38836669921875,25.66054916381836
2020-11-19,340.28240966796875,25.914331436157227
2020-11-20,345.7391662597656,26.24951171875
2020-11-23,342.0055236816406,26.431467056274414
2020-11-24,343.5851745605469,26.809743881225586
2020-11-25,339.85162353515625,27.173654556274414
2020-11-26,342.1970520019531,27.393917083740234
2020-11-27,350.7172546386719,28.351577758789062
2020-11-30,348.3238830566406,28.270177841186523
2020-12-01,356.9399108886719,28.193565368652344
2020-12-02,355.2645568847656,27.834442138671875
2020-12-03,357.22711181640625,27.51362419128418
2020-12-04,362.15728759765625,28.31805992126465
2020-12-07,370.2945861816406,28.806468963623047
2020-12-08,368.33203125,28.638877868652344
2020-12-09,366.9440002441406,28.456920623779297
2020-12-10,360.86492919921875,27.815288543701172
2020-12-11,357.8972473144531,27.657272338867188
2020-12-14,359.9554748535156,28.203144073486328
2020-12-15,366.0344543457031,28.935752868652344
2020-12-16,368.8585510253906,29.19911003112793
2020-12-17,373.8367614746094,29.634845733642578
2020-12-18,372.9272155761719,29.572595596313477
2020-12-21,364.35919189453125,28.394672393798828
2020-12-22,374.6983337402344,29.52950096130371
2020-12-23,373.5973815917969,29.955663681030273
2020-12-24,376.708740234375,29.955663681030273
2020-12-25,376.708740234375,29.955663681030273
2020-12-28,379.915771484375,30.45843505859375
2020-12-29,379.38916015625,30.104101181030273
2020-12-30,381.495361328125,30.061002731323242
2020-12-31,380.58587646484375,30.061002731323242
2021-01-01,380.58587646484375,30.061002731323242
2021-01-04,388.9146728515625,30.702638626098633
2021-01-05,389.536865234375,30.391399383544922
2021-01-06,385.6597595214844,30.204654693603516
2021-01-07,386.6649169921875,30.61644744873047
2021-01-08,398.29644775390625,32.775978088378906
2021-01-11,397.19549560546875,32.129554748535156
2021-01-12,401.0727844238281,33.15425109863281
2021-01-13,404.4234313964844,33.42239761352539
2021-01-14,428.2608337402344,32.876529693603516
2021-01-15,417.2516174316406,32.244468688964844
2021-01-18,418.9268798828125,33.14467239379883
2021-01-19,421.12872314453125,32.627540588378906
2021-01-20,433.8133544921875,33.40803146362305
2021-01-21,450.47088623046875,33.99699783325195
2021-01-22,443.1473083496094,33.17340850830078
2021-01-25,441.66351318359375,32.4599494934082
