Date,XLRE,XLU
2020-08-10,30.78636360168457,52.63789749145508
2020-08-11,30.194969177246094,51.49898147583008
2020-08-12,30.575149536132812,52.24397659301758
2020-08-13,30.22031593322754,52.15835189819336
2020-08-14,30.29635238647461,51.70450210571289
2020-08-17,30.566707611083984,51.635990142822266
2020-08-18,30.532913208007812,51.40479278564453
2020-08-19,29.907724380493164,51.25065994262695
2020-08-20,30.228761672973633,50.79680633544922
2020-08-21,30.330148696899414,50.88243865966797
2020-08-24,30.372390747070312,51.327720642089844
2020-08-25,30.465316772460938,50.839622497558594
2020-08-26,30.254112243652344,50.274452209472656
2020-08-27,30.659643173217773,50.437156677246094
2020-08-28,30.896194458007812,50.582725524902344
2020-08-31,30.62584686279297,50.73685836791992
2020-09-01,30.575149536132812,50.15456771850586
2020-09-02,31.259475708007812,51.71305465698242
2020-09-03,30.735679626464844,51.13076400756836
2020-09-04,30.62584686279297,50.839622497558594
2020-09-07,30.62584686279297,50.839622497558594
2020-09-08,30.237211227416992,50.55704116821289
2020-09-09,30.566707611083984,51.2249641418457
2020-09-10,30.135826110839844,50.342952728271484
2020-09-11,30.034446716308594,50.46284484863281
2020-09-14,30.76947021484375,51.15645980834961
2020-09-15,31.174997329711914,51.49898147583008
2020-09-16,31.377756118774414,51.430484771728516
2020-09-17,30.68498420715332,51.010887145996094
2020-09-18,30.076690673828125,50.11174774169922
2020-09-21,29.271800994873047,49.799957275390625
2020-09-22,29.62027931213379,50.11088180541992
2020-09-23,28.770336151123047,49.34221649169922
2020-09-24,28.90633201599121,49.89496612548828
2020-09-25,29.467288970947266,50.71548080444336
2020-09-28,29.97724723815918,50.84502410888672
2020-09-29,29.824262619018555,50.82774353027344
2020-09-30,29.97724723815918,51.28549575805664
2020-10-01,30.470205307006836,51.8036994934082
2020-10-02,30.96317481994629,52.416908264160156
2020-10-05,31.133161544799805,53.073326110839844
2020-10-06,30.86968231201172,53.52242660522461
2020-10-07,30.95467758178711,53.85062789916992
2020-10-08,31.47313117980957,54.835227966308594
2020-10-09,31.38813591003418,54.826595306396484
2020-10-12,31.549633026123047,55.17206954956055
2020-10-13,31.014175415039062,54.79204177856445
2020-10-14,30.65719985961914,54.72294616699219
2020-10-15,30.80169105529785,54.688411712646484
2020-10-16,30.691200256347656,55.27570724487305
2020-10-19,30.206727981567383,54.80931854248047
2020-10-20,30.410715103149414,55.13751983642578
2020-10-21,30.30022430419922,54.99069595336914
2020-10-22,30.087743759155273,55.768009185791016
2020-10-23,30.283227920532227,55.9234733581543
2020-10-26,29.917753219604492,55.90619659423828
2020-10-27,29.5352840423584,55.86301803588867
2020-10-28,28.880834579467773,54.239288330078125
2020-10-29,29.212305068969727,54.38611602783203
2020-10-30,29.025318145751953,53.87655258178711
2020-11-02,29.739273071289062,55.059791564941406
2020-11-03,30.206727981567383,55.85438537597656
2020-11-04,30.29172134399414,55.01660919189453
2020-11-05,30.402217864990234,55.50890350341797
2020-11-06,30.283227920532227,55.38798904418945
2020-11-09,31.082164764404297,56.415771484375
2020-11-10,31.252159118652344,57.22763442993164
2020-11-11,31.490135192871094,57.44356155395508
2020-11-12,31.167165756225586,56.51941680908203
2020-11-13,31.881101608276367,57.080814361572266
2020-11-16,32.0850830078125,57.659481048583984
2020-11-17,32.102081298828125,56.528045654296875
2020-11-18,31.558130264282227,55.42253494262695
2020-11-19,31.609127044677734,54.86978530883789
2020-11-20,31.396644592285156,54.878414154052734
2020-11-23,31.294645309448242,54.88705062866211
2020-11-24,31.277650833129883,55.47435760498047
2020-11-25,31.354145050048828,55.621192932128906
2020-11-26,31.354145050048828,55.621192932128906
2020-11-27,31.294645309448242,55.06842803955078
2020-11-30,31.022668838500977,54.27383804321289
2020-12-01,31.413646697998047,54.65385437011719
2020-12-02,31.082164764404297,55.01660919189453
2020-12-03,31.3116455078125,54.44657897949219
2020-12-04,31.728118896484375,53.9024543762207
2020-12-07,31.413646697998047,54.20474624633789
2020-12-08,31.26915168762207,54.04064178466797
2020-12-09,30.980173110961914,53.94563674926758
2020-12-10,30.810190200805664,53.66925811767578
2020-12-11,30.82718276977539,53.75563430786133
2020-12-14,30.606204986572266,53.479251861572266
2020-12-15,31.14166259765625,54.53294372558594
2020-12-16,31.150169372558594,53.9024543762207
2020-12-17,31.515634536743164,54.265201568603516
2020-12-18,30.97167205810547,53.79881286621094
2020-12-21,30.692731857299805,53.14731979370117
2020-12-22,30.90796661376953,53.04279708862305
2020-12-23,30.615234375,52.93828582763672
2020-12-24,30.916568756103516,53.312808990478516
2020-12-25,30.916568756103516,53.312808990478516
2020-12-28,31.166244506835938,53.547969818115234
2020-12-29,30.9251766204834,53.53926086425781
2020-12-30,31.097373962402344,53.809261322021484
2020-12-31,31.476194381713867,54.61056900024414
2021-01-01,31.476194381713867,54.61056900024414
2021-01-04,30.460269927978516,53.234413146972656
2021-01-05,30.42583656311035,53.225704193115234
2021-01-06,30.279468536376953,54.54959487915039
2021-01-07,30.37417984008789,53.83539581298828
2021-01-08,30.701332092285156,54.28829574584961
2021-01-11,30.184768676757812,53.78314208984375
2021-01-12,30.210599899291992,53.49570846557617
2021-01-13,30.623844146728516,54.540889739990234
2021-01-14,30.813262939453125,54.33185958862305
2021-01-15,31.286775588989258,54.86315155029297
2021-01-18,31.286775588989258,54.86315155029297
2021-01-19,31.08014678955078,54.654117584228516
2021-01-20,31.725854873657227,54.97638702392578
2021-01-21,31.622554779052734,54.654117584228516
2021-01-22,31.70003890991211,54.732505798339844
2021-01-25,31.98415184020996,55.82994079589844
