Date,BMW.DE,MBG.DE,VOW3.DE
2020-08-10,41.40971755981445,24.344772338867188,96.08478546142578
2020-08-11,43.796295166015625,25.190513610839844,101.05069732666016
2020-08-12,44.04318618774414,25.38408088684082,101.52709197998047
2020-08-13,43.60177993774414,25.199445724487305,100.1412582397461
2020-08-14,43.55689239501953,25.172643661499023,100.31446838378906
2020-08-17,43.302520751953125,25.214336395263672,100.45883178710938
2020-08-18,43.063114166259766,25.142868041992188,99.96800994873047
2020-08-19,43.5793342590332,25.56275749206543,100.64649963378906
2020-08-20,42.93593215942383,24.993967056274414,98.61104583740234
2020-08-21,42.502010345458984,24.49962615966797,98.22128295898438
2020-08-24,43.5793342590332,25.485332489013672,99.4627685546875
2020-08-25,43.35489273071289,25.21135902404785,98.30789947509766
2020-08-26,44.45465850830078,25.628271102905273,100.32891082763672
2020-08-27,44.589324951171875,25.61040496826172,101.13731384277344
2020-08-28,44.59680938720703,25.5389347076416,100.7042465209961
2020-08-31,45.00080490112305,25.398967742919922,100.5743179321289
2020-09-01,44.985843658447266,25.416837692260742,101.12288665771484
2020-09-02,45.180355072021484,25.658052444458008,101.28168487548828
2020-09-03,45.487098693847656,25.812908172607422,103.04283905029297
2020-09-04,45.921024322509766,25.896284103393555,103.21607971191406
2020-09-07,46.818790435791016,26.861143112182617,108.10980987548828
2020-09-08,47.260196685791016,27.14405059814453,109.10589599609375
2020-09-09,47.686641693115234,27.629457473754883,109.22137451171875
2020-09-10,47.686641693115234,27.70390510559082,108.96154022216797
2020-09-11,48.113075256347656,27.721771240234375,108.15312194824219
2020-09-14,47.97093200683594,27.49842643737793,107.12818908691406
2020-09-15,48.12056350708008,27.39717674255371,107.07044982910156
2020-09-16,48.41233825683594,27.569896697998047,107.3014144897461
2020-09-17,48.48714828491211,27.635414123535156,106.565185546875
2020-09-18,47.686641693115234,27.087467193603516,102.47984313964844
2020-09-21,45.25517654418945,25.899267196655273,96.43124389648438
2020-09-22,45.322509765625,26.045183181762695,97.31183624267578
2020-09-23,45.6068000793457,26.37871551513672,97.78820037841797
2020-09-24,45.36739730834961,26.494857788085938,98.55329895019531
2020-09-25,44.18532943725586,26.316177368164062,96.21471405029297
2020-09-28,46.1828727722168,27.322725296020508,99.75147247314453
2020-09-29,46.38486862182617,27.212543487548828,100.1412582397461
2020-09-30,46.37738800048828,27.41802406311035,99.17403411865234
2020-10-01,46.87864303588867,27.840890884399414,100.49098205566406
2020-10-02,46.65420150756836,27.843868255615234,98.76998901367188
2020-10-05,47.90359878540039,28.487110137939453,100.79027557373047
2020-10-06,48.51707458496094,28.665782928466797,102.87043762207031
2020-10-07,49.18292236328125,29.237550735473633,103.94792938232422
2020-10-08,49.167964935302734,29.076745986938477,103.24456787109375
2020-10-09,48.40485382080078,28.69556427001953,103.005126953125
2020-10-12,48.69662857055664,29.189903259277344,104.30708312988281
2020-10-13,48.06819152832031,29.1095027923584,103.63365936279297
2020-10-14,47.94100570678711,28.752147674560547,104.14247131347656
2020-10-15,46.512054443359375,27.894495010375977,100.95489501953125
2020-10-16,47.2227897644043,29.42218589782715,103.46904754638672
2020-10-19,47.59686279296875,29.070783615112305,104.21730041503906
2020-10-20,47.93352508544922,28.99336051940918,103.57380676269531
2020-10-21,47.739009857177734,28.570486068725586,102.5711441040039
2020-10-22,47.888641357421875,28.531780242919922,102.96024322509766
2020-10-23,47.82878494262695,28.82659149169922,104.05268096923828
2020-10-26,47.290122985839844,28.56751251220703,101.49364471435547
2020-10-27,45.98835372924805,28.028499603271484,98.76998901367188
2020-10-28,43.43718338012695,26.351913452148438,93.92127227783203
2020-10-29,43.63918685913086,26.340003967285156,94.98381042480469
2020-10-30,43.90103530883789,26.444231033325195,93.60700988769531
2020-11-02,44.64917755126953,27.28997039794922,95.61234283447266
2020-11-03,46.474647521972656,28.111886978149414,98.57544708251953
2020-11-04,46.773902893066406,28.600271224975586,98.82984924316406
2020-11-05,48.472190856933594,29.431116104125977,101.70316314697266
2020-11-06,47.56693649291992,28.692584991455078,99.63796997070312
2020-11-09,50.59691619873047,30.19645881652832,106.49201202392578
2020-11-10,51.995941162109375,31.566312789916992,112.10395050048828
2020-11-11,52.62438201904297,31.56035614013672,112.2386245727539
2020-11-12,52.893714904785156,31.08983612060547,112.58281707763672
2020-11-13,52.92363357543945,31.268516540527344,112.37329864501953
2020-11-16,54.457332611083984,32.03086853027344,114.88744354248047
2020-11-17,54.50222396850586,32.4835205078125,114.99220275878906
2020-11-18,55.26533126831055,33.17440414428711,115.63570404052734
2020-11-19,55.362586975097656,32.79918670654297,114.12423706054688
2020-11-20,55.47480773925781,33.06719970703125,113.83988952636719
2020-11-23,55.28028869628906,33.353084564208984,112.31344604492188
2020-11-24,57.36760711669922,34.51448440551758,116.7281723022461
2020-11-25,56.40998840332031,34.19286346435547,113.98953247070312
2020-11-26,55.459842681884766,33.40668869018555,111.1910629272461
2020-11-27,54.6817741394043,33.70448303222656,109.18573760986328
2020-11-30,54.64436721801758,33.62110137939453,105.75870513916016
2020-12-01,55.94614028930664,34.270294189453125,110.26321411132812
2020-12-02,55.60947799682617,34.24051284790039,109.82923889160156
2020-12-03,55.57954406738281,33.81168746948242,109.30545806884766
2020-12-04,56.07332229614258,34.66933822631836,108.81159210205078
2020-12-07,55.13813781738281,34.36558532714844,108.07831573486328
2020-12-08,54.62192916870117,34.24646759033203,107.83887481689453
2020-12-09,54.711700439453125,34.258384704589844,110.32307434082031
2020-12-10,53.387489318847656,33.54367446899414,108.04837036132812
