Date,BNP.PA,GLE.PA
2020-08-10,26.18129539489746,11.008868217468262
2020-08-11,27.40574836730957,11.415294647216797
2020-08-12,27.650636672973633,11.497221946716309
2020-08-13,27.040241241455078,11.405654907226562
2020-08-14,26.79900550842285,11.298025131225586
2020-08-17,26.532184600830078,11.241800308227539
2020-08-18,26.23612403869629,11.036176681518555
2020-08-19,26.926931381225586,11.175934791564941
2020-08-20,26.283641815185547,10.883566856384277
2020-08-21,25.84868621826172,10.668304443359375
2020-08-24,26.524871826171875,11.11489200592041
2020-08-25,26.579700469970703,11.081155776977539
2020-08-26,26.97444725036621,11.164690971374512
2020-08-27,26.674732208251953,11.028144836425781
2020-08-28,27.636018753051758,11.368708610534668
2020-08-31,26.729557037353516,10.909269332885742
2020-09-01,26.378671646118164,10.62653636932373
2020-09-02,26.22881317138672,10.377540588378906
2020-09-03,26.426191329956055,10.401637077331543
2020-09-04,27.212026596069336,10.983163833618164
2020-09-07,27.33995819091797,10.864288330078125
2020-09-08,26.627216339111328,10.456254005432129
2020-09-09,26.894039154052734,10.587983131408691
2020-09-10,27.05120849609375,10.645814895629883
2020-09-11,26.396947860717773,10.314889907836914
2020-09-14,26.733213424682617,10.604046821594238
2020-09-15,26.195919036865234,10.438584327697754
2020-09-16,26.10453987121582,10.417701721191406
2020-09-17,25.896202087402344,10.464287757873535
2020-09-18,25.289459228515625,10.144608497619629
2020-09-21,23.67757225036621,9.367094993591309
2020-09-22,23.553298950195312,9.35745620727539
2020-09-23,22.994075775146484,9.246613502502441
2020-09-24,22.778423309326172,9.005648612976074
2020-09-25,22.11319923400879,8.758258819580078
2020-09-28,23.260892868041992,9.198420524597168
2020-09-29,22.657806396484375,8.857857704162598
2020-09-30,22.643186569213867,9.090789794921875
2020-10-01,22.40926170349121,8.873921394348145
2020-10-02,22.288644790649414,8.865890502929688
2020-10-05,22.994075775146484,9.147014617919922
2020-10-06,24.149076461791992,9.760672569274902
2020-10-07,24.200244903564453,9.908463478088379
2020-10-08,24.649822235107422,10.115691184997559
2020-10-09,24.43051528930664,9.9727201461792
2020-10-12,24.518239974975586,10.210471153259277
2020-10-13,23.520402908325195,9.807257652282715
2020-10-14,23.79453468322754,9.897217750549316
2020-10-15,23.147584915161133,9.498823165893555
2020-10-16,23.542333602905273,9.685168266296387
2020-10-19,23.831083297729492,9.874728202819824
2020-10-20,24.207557678222656,10.126936912536621
2020-10-21,23.856670379638672,9.953442573547363
2020-10-22,23.820119857788086,10.046615600585938
2020-10-23,24.488998413085938,10.240994453430176
2020-10-26,24.08694076538086,10.107659339904785
2020-10-27,22.935592651367188,9.593602180480957
2020-10-28,21.74769401550293,9.142194747924805
2020-10-29,21.422391891479492,9.116491317749023
2020-10-30,21.82444953918457,9.349424362182617
2020-11-02,22.752838134765625,9.738181114196777
2020-11-03,24.14542007446289,10.268302917480469
2020-11-04,24.211210250854492,10.242599487304688
2020-11-05,24.766786575317383,10.624930381774902
2020-11-06,24.2916259765625,10.506054878234863
2020-11-09,28.659439086914062,12.440196990966797
2020-11-10,30.848831176757812,13.013691902160645
2020-11-11,30.037399291992188,12.533370018005371
2020-11-12,28.907981872558594,12.269914627075195
2020-11-13,29.1784610748291,12.552647590637207
2020-11-16,29.6792049407959,13.081161499023438
2020-11-17,29.916784286499023,13.253050804138184
2020-11-18,30.0666446685791,13.187187194824219
2020-11-19,29.82906150817871,13.000842094421387
2020-11-20,29.935060501098633,12.983169555664062
2020-11-23,30.32981300354004,13.296424865722656
2020-11-24,31.970937728881836,13.847429275512695
2020-11-25,31.985557556152344,13.975943565368652
2020-11-26,31.700458526611328,13.807269096374512
2020-11-27,32.03672790527344,13.918111801147461
2020-11-30,31.408056259155273,13.402448654174805
2020-12-01,32.314517974853516,14.093212127685547
2020-12-02,32.8591194152832,14.388795852661133
2020-12-03,32.804290771484375,14.493215560913086
2020-12-04,33.43662643432617,14.694019317626953
2020-12-07,32.5338134765625,14.292410850524902
2020-12-08,32.37299346923828,14.073936462402344
2020-12-09,32.563053131103516,14.194418907165527
2020-12-10,31.769906997680664,13.733372688293457
2020-12-11,31.517709732055664,13.39602279663086
2020-12-14,32.27430725097656,13.648232460021973
2020-12-15,33.06745910644531,13.908473014831543
2020-12-16,32.29258346557617,13.858675003051758
2020-12-17,32.197547912597656,13.823332786560059
2020-12-18,31.84666633605957,13.686788558959961
2020-12-21,30.49428367614746,12.976744651794434
2020-12-22,31.057167053222656,13.307670593261719
2020-12-23,32.044036865234375,13.863494873046875
2020-12-24,32.014793395996094,13.874739646911621
2020-12-25,32.014793395996094,13.874739646911621
2020-12-28,31.894174575805664,13.792811393737793
2020-12-29,31.9051456451416,13.718915939331055
2020-12-30,31.65660285949707,13.6402006149292
2020-12-31,31.510395050048828,13.67232894897461
2021-01-01,31.510395050048828,13.67232894897461
2021-01-04,31.440946578979492,13.415299415588379
2021-01-05,31.375152587890625,13.50044059753418
2021-01-06,33.107666015625,14.422529220581055
2021-01-07,33.85329818725586,14.571930885314941
2021-01-08,33.104007720947266,14.279560089111328
2021-01-11,32.881046295166016,14.086788177490234
2021-01-12,33.14421463012695,14.167110443115234
2021-01-13,32.9139404296875,14.176748275756836
2021-01-14,32.99070358276367,14.266706466674805
2021-01-15,32.48264694213867,13.922932624816895
2021-01-18,32.75312042236328,13.975943565368652
2021-01-19,32.24506759643555,13.641807556152344
2021-01-20,32.471675872802734,13.722127914428711
2021-01-21,32.4131965637207,13.57273006439209
2021-01-22,31.495771408081055,13.124536514282227
2021-01-25,30.139745712280273,12.543008804321289
