Date,IGLT.L,^TNX
2020-08-10,13.137654304504395,0.5740000009536743
2020-08-11,13.024285316467285,0.6579999923706055
2020-08-12,12.961546897888184,0.6700000166893005
2020-08-13,12.95053768157959,0.7160000205039978
2020-08-14,12.939531326293945,0.7089999914169312
2020-08-17,12.992363929748535,0.6830000281333923
2020-08-18,12.979155540466309,0.6690000295639038
2020-08-19,12.941732406616211,0.675000011920929
2020-08-20,12.930726051330566,0.6439999938011169
2020-08-21,12.972553253173828,0.6399999856948853
2020-08-24,12.979155540466309,0.6460000276565552
2020-08-25,12.855880737304688,0.6819999814033508
2020-08-26,12.820660591125488,0.6869999766349792
2020-08-27,12.767826080322266,0.7459999918937683
2020-08-28,12.82505989074707,0.7289999723434448
2020-08-31,12.82505989074707,0.6930000185966492
2020-09-01,12.831665992736816,0.671999990940094
2020-09-02,12.94833755493164,0.6510000228881836
2020-09-03,12.96374797821045,0.621999979019165
2020-09-04,12.919718742370605,0.7210000157356262
2020-09-07,12.943934440612793,0.7210000157356262
2020-09-08,12.996767044067383,0.6840000152587891
2020-09-09,12.970352172851562,0.703000009059906
2020-09-10,12.939531326293945,0.6850000023841858
2020-09-11,13.062807083129883,0.6690000295639038
2020-09-14,13.025383949279785,0.6710000038146973
2020-09-15,13.01437759399414,0.6790000200271606
2020-09-16,13.036391258239746,0.6869999766349792
2020-09-17,13.036391258239746,0.6840000152587891
2020-09-18,13.045197486877441,0.6940000057220459
2020-09-21,13.098030090332031,0.6710000038146973
2020-09-22,13.04079532623291,0.6639999747276306
2020-09-23,13.003371238708496,0.6759999990463257
2020-09-24,13.005573272705078,0.6660000085830688
2020-09-25,13.084820747375488,0.6589999794960022
2020-09-28,13.051801681518555,0.6629999876022339
2020-09-29,13.084820747375488,0.6449999809265137
2020-09-30,12.992363929748535,0.6769999861717224
2020-10-01,12.961546897888184,0.6769999861717224
2020-10-02,12.94833755493164,0.6959999799728394
2020-10-05,12.88229751586914,0.7620000243186951
2020-10-06,12.866887092590332,0.7419999837875366
2020-10-07,12.851479530334473,0.7850000262260437
2020-10-08,12.866887092590332,0.7649999856948853
2020-10-09,12.910914421081543,0.7749999761581421
2020-10-12,12.904309272766113,0.7770000100135803
2020-10-13,12.970352172851562,0.7269999980926514
2020-10-14,13.004470825195312,0.722000002861023
2020-10-15,13.07601547241211,0.7310000061988831
2020-10-16,13.084820747375488,0.7440000176429749
2020-10-19,13.093626976013184,0.7609999775886536
2020-10-20,13.049599647521973,0.796999990940094
2020-10-21,12.939531326293945,0.8159999847412109
2020-10-22,12.89550495147705,0.8479999899864197
2020-10-23,12.899907112121582,0.8410000205039978
2020-10-26,12.880095481872559,0.8009999990463257
2020-10-27,13.00117015838623,0.777999997138977
2020-10-28,13.045197486877441,0.781000018119812
2020-10-29,13.020980834960938,0.8349999785423279
2020-10-30,12.91751766204834,0.8600000143051147
2020-11-02,12.998967170715332,0.8489999771118164
2020-11-03,12.899907112121582,0.8820000290870667
2020-11-04,13.04079532623291,0.7680000066757202
2020-11-05,12.965950012207031,0.7760000228881836
2020-11-06,12.891103744506836,0.8199999928474426
2020-11-09,12.723799705505371,0.9580000042915344
2020-11-10,12.692980766296387,0.972000002861023
2020-11-11,12.659960746765137,0.9580000042915344
2020-11-12,12.779800415039062,0.8849999904632568
2020-11-13,12.79306411743164,0.8930000066757202
2020-11-16,12.770955085754395,0.906000018119812
2020-11-17,12.803013801574707,0.871999979019165
2020-11-18,12.782011032104492,0.8820000290870667
2020-11-19,12.788642883300781,0.8539999723434448
2020-11-20,12.841706275939941,0.8289999961853027
2020-11-23,12.819598197937012,0.8569999933242798
2020-11-24,12.837285995483398,0.8820000290870667
2020-11-25,12.85386848449707,0.878000020980835
2020-11-26,12.923516273498535,0.878000020980835
2020-11-27,12.912460327148438,0.8420000076293945
2020-11-30,12.87708568572998,0.843999981880188
2020-12-01,12.790854454040527,0.9340000152587891
2020-12-02,12.784220695495605,0.9480000138282776
2020-12-03,12.80854320526123,0.9200000166893005
2020-12-04,12.79748821258545,0.968999981880188
2020-12-07,12.914671897888184,0.9279999732971191
2020-12-08,12.969947814941406,0.9129999876022339
2020-12-09,12.978791236877441,0.9409999847412109
2020-12-10,13.073866844177246,0.9079999923706055
2020-12-11,13.1202974319458,0.8930000066757202
2020-12-14,13.058389663696289,0.8920000195503235
2020-12-15,12.938993453979492,0.9229999780654907
2020-12-16,12.916882514953613,0.9200000166893005
2020-12-17,12.947839736938477,0.9300000071525574
2020-12-18,12.989846229553223,0.9480000138282776
2020-12-21,13.078288078308105,0.9409999847412109
2020-12-22,13.1202974319458,0.9179999828338623
2020-12-23,12.8859281539917,0.9549999833106995
2020-12-24,12.962209701538086,0.9279999732971191
2020-12-25,12.962209701538086,0.9279999732971191
2020-12-28,12.962209701538086,0.9330000281333923
2020-12-29,13.051755905151367,0.9350000023841858
2020-12-30,13.045123100280762,0.9259999990463257
2020-12-31,13.062812805175781,0.9169999957084656
2021-01-01,13.062812805175781,0.9169999957084656
2021-01-04,13.100398063659668,0.9169999957084656
2021-01-05,13.027433395385742,0.9549999833106995
2021-01-06,12.95557689666748,1.0420000553131104
2021-01-07,12.88371753692627,1.0709999799728394
2021-01-08,12.908039093017578,1.1050000190734863
2021-01-11,12.854974746704102,1.1319999694824219
2021-01-12,12.815173149108887,1.1380000114440918
2021-01-13,12.888141632080078,1.0880000591278076
2021-01-14,12.905827522277832,1.128999948501587
2021-01-15,12.905827522277832,1.097000002861023
2021-01-18,12.910248756408691,1.097000002861023
