Date,BZ=F,CL=F
2020-08-10,44.9900016784668,41.939998626708984
2020-08-11,44.5,41.61000061035156
2020-08-12,45.43000030517578,42.66999816894531
2020-08-13,44.959999084472656,42.2400016784668
2020-08-14,44.79999923706055,42.0099983215332
2020-08-17,45.369998931884766,42.88999938964844
2020-08-18,45.459999084472656,42.88999938964844
2020-08-19,45.369998931884766,42.93000030517578
2020-08-20,44.900001525878906,42.58000183105469
2020-08-21,44.349998474121094,42.34000015258789
2020-08-24,45.130001068115234,42.619998931884766
2020-08-25,45.86000061035156,43.349998474121094
2020-08-26,45.63999938964844,43.38999938964844
2020-08-27,45.09000015258789,43.040000915527344
2020-08-28,45.04999923706055,42.970001220703125
2020-08-31,45.279998779296875,42.61000061035156
2020-09-01,45.58000183105469,42.7599983215332
2020-09-02,44.43000030517578,41.5099983215332
2020-09-03,44.06999969482422,41.369998931884766
2020-09-04,42.65999984741211,39.77000045776367
2020-09-07,42.65999984741211,39.77000045776367
2020-09-08,39.779998779296875,36.7599983215332
2020-09-09,40.790000915527344,38.04999923706055
2020-09-10,40.060001373291016,37.29999923706055
2020-09-11,39.83000183105469,37.33000183105469
2020-09-14,39.61000061035156,37.2599983215332
2020-09-15,40.529998779296875,38.279998779296875
2020-09-16,42.220001220703125,40.15999984741211
2020-09-17,43.29999923706055,40.970001220703125
2020-09-18,43.150001525878906,41.11000061035156
2020-09-21,41.439998626708984,39.310001373291016
2020-09-22,41.720001220703125,39.599998474121094
2020-09-23,41.77000045776367,39.93000030517578
2020-09-24,41.939998626708984,40.310001373291016
2020-09-25,41.91999816894531,40.25
2020-09-28,42.43000030517578,40.599998474121094
2020-09-29,41.029998779296875,39.290000915527344
2020-09-30,40.95000076293945,40.220001220703125
2020-10-01,40.93000030517578,38.720001220703125
2020-10-02,39.27000045776367,37.04999923706055
2020-10-05,41.290000915527344,39.220001220703125
2020-10-06,42.650001525878906,40.66999816894531
2020-10-07,41.9900016784668,39.95000076293945
2020-10-08,43.34000015258789,41.189998626708984
2020-10-09,42.849998474121094,40.599998474121094
2020-10-12,41.720001220703125,39.43000030517578
2020-10-13,42.45000076293945,40.20000076293945
2020-10-14,43.31999969482422,41.040000915527344
2020-10-15,43.15999984741211,40.959999084472656
2020-10-16,42.93000030517578,40.880001068115234
2020-10-19,42.619998931884766,40.83000183105469
2020-10-20,43.15999984741211,41.459999084472656
2020-10-21,41.72999954223633,40.029998779296875
2020-10-22,42.459999084472656,40.63999938964844
2020-10-23,41.77000045776367,39.849998474121094
2020-10-26,40.459999084472656,38.560001373291016
2020-10-27,41.20000076293945,39.56999969482422
2020-10-28,39.119998931884766,37.38999938964844
2020-10-29,37.650001525878906,36.16999816894531
2020-10-30,37.459999084472656,35.790000915527344
2020-11-02,38.970001220703125,36.810001373291016
2020-11-03,39.709999084472656,37.65999984741211
2020-11-04,41.22999954223633,39.150001525878906
2020-11-05,40.93000030517578,38.790000915527344
2020-11-06,39.45000076293945,37.13999938964844
2020-11-09,42.400001525878906,40.290000915527344
2020-11-10,43.61000061035156,41.36000061035156
2020-11-11,43.79999923706055,41.45000076293945
2020-11-12,43.529998779296875,41.119998931884766
2020-11-13,42.779998779296875,40.130001068115234
2020-11-16,43.81999969482422,41.34000015258789
2020-11-17,43.75,41.43000030517578
2020-11-18,44.34000015258789,41.81999969482422
2020-11-19,44.20000076293945,41.7400016784668
2020-11-20,44.959999084472656,42.150001525878906
2020-11-23,46.060001373291016,43.060001373291016
2020-11-24,47.86000061035156,44.90999984741211
2020-11-25,48.61000061035156,45.709999084472656
2020-11-26,48.61000061035156,45.709999084472656
2020-11-27,48.18000030517578,45.529998779296875
2020-11-30,47.59000015258789,45.34000015258789
2020-12-01,47.41999816894531,44.54999923706055
2020-12-02,48.25,45.279998779296875
2020-12-03,48.709999084472656,45.63999938964844
2020-12-04,49.25,46.2599983215332
2020-12-07,48.790000915527344,45.7599983215332
2020-12-08,48.84000015258789,45.599998474121094
2020-12-09,48.86000061035156,45.52000045776367
2020-12-10,50.25,46.779998779296875
2020-12-11,49.970001220703125,46.56999969482422
2020-12-14,50.290000915527344,46.9900016784668
2020-12-15,50.7599983215332,47.619998931884766
2020-12-16,51.08000183105469,47.81999969482422
2020-12-17,51.5,48.36000061035156
2020-12-18,52.2599983215332,49.099998474121094
2020-12-21,50.90999984741211,47.7400016784668
2020-12-22,50.08000183105469,47.02000045776367
2020-12-23,51.20000076293945,48.119998931884766
2020-12-24,51.290000915527344,48.22999954223633
2020-12-25,51.290000915527344,48.22999954223633
2020-12-28,50.86000061035156,47.619998931884766
2020-12-29,51.09000015258789,48.0
2020-12-30,51.34000015258789,48.400001525878906
2020-12-31,51.79999923706055,48.52000045776367
2021-01-01,51.79999923706055,48.52000045776367
2021-01-04,51.09000015258789,47.619998931884766
2021-01-05,53.599998474121094,49.93000030517578
2021-01-06,54.29999923706055,50.630001068115234
2021-01-07,54.380001068115234,50.83000183105469
2021-01-08,55.9900016784668,52.2400016784668
2021-01-11,55.65999984741211,52.25
2021-01-12,56.58000183105469,53.209999084472656
2021-01-13,56.060001373291016,52.90999984741211
2021-01-14,56.41999816894531,53.56999969482422
2021-01-15,55.099998474121094,52.36000061035156
2021-01-18,55.099998474121094,52.36000061035156
2021-01-19,55.900001525878906,52.97999954223633
2021-01-20,56.08000183105469,53.2400016784668
2021-01-21,56.099998474121094,53.130001068115234
2021-01-22,55.40999984741211,52.27000045776367
2021-01-25,55.880001068115234,52.77000045776367
2021-01-26,55.90999984741211,52.61000061035156
